City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,vilyuchinsk,52.9306,158.4028,-13.85,74,4,4.23,RU,2024-01-07
79,tulun,54.5611,100.5792,-5.32,86,100,3.27,RU,2024-01-07
80,ovalle,-30.5983,-71.2003,20.08,64,0,1.0,CL,2024-01-07
81,quelimane,-17.8786,36.8883,25.97,89,40,1.03,MZ,2024-01-07
82,susuman,62.7833,148.1667,-37.14,99,99,0.26,RU,2024-01-07
83,ulladulla,-35.35,150.4667,24.76,62,70,8.39,AU,2024-01-07
84,papatowai,-46.5619,169.4708,15.12,74,64,2.17,NZ,2024-01-07
85,taltal,-25.4,-70.4833,18.4,83,35,0.49,CL,2024-01-07
86,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,78,0,5.36,RU,2024-01-07
87,sanming,26.2486,117.6186,19.19,60,48,0.97,CN,2024-01-07
88,haiku-pauwela,20.9219,-156.3051,23.01,78,0,2.57,US,2024-01-07
89,macapa,0.0389,-51.0664,23.19,94,100,1.41,BR,2024-01-07
90,hermanus,-34.4187,19.2345,16.09,84,100,1.36,ZA,2024-01-07
91,san martin,-33.081,-68.4681,24.3,38,0,3.47,AR,2024-01-07
92,enewetak,11.3474,162.3373,27.2,68,70,8.75,MH,2024-01-07
93,ashland,40.8167,-82.2665,0.15,99,100,2.89,US,2024-01-07
94,timimoun,29.2639,0.231,7.21,31,87,5.14,DZ,2024-01-07
95,qaqortoq,60.7167,-46.0333,-2.46,80,90,1.46,GL,2024-01-07
96,shahrud,36.4182,54.9763,3.11,50,39,1.24,IR,2024-01-07
97,saldanha,-33.0117,17.9442,18.03,86,100,7.54,ZA,2024-01-07
98,novyy urengoy,66.0833,76.6333,-21.19,94,75,3.59,RU,2024-01-07
99,gadzhiyevo,69.2551,33.3362,-7.73,89,99,5.7,RU,2024-01-07
100,jamestown,42.097,-79.2353,-1.36,100,100,0.45,US,2024-01-07
101,shalkar,47.8288,59.6258,1.74,97,99,4.6,KZ,2024-01-07
102,carnarvon,-24.8667,113.6333,26.96,67,0,8.27,AU,2024-01-07
103,vorgashor,67.5833,63.95,-23.34,100,100,3.89,RU,2024-01-07
104,grytviken,-54.2811,-36.5092,3.39,89,27,5.33,GS,2024-01-07
105,fort st. john,56.2499,-120.8529,-22.06,77,20,4.12,CA,2024-01-07
106,albany,42.6001,-73.9662,-1.54,89,100,2.99,US,2024-01-07
107,singaraja,-8.112,115.0882,28.76,77,84,1.2,ID,2024-01-07
108,arris,35.2588,6.3471,-0.11,90,34,3.91,DZ,2024-01-07
109,stanley,54.868,-1.6985,1.51,93,100,1.45,GB,2024-01-07
110,port mathurin,-19.6833,63.4167,27.78,76,61,0.88,MU,2024-01-07
111,touros,-5.1989,-35.4608,26.25,81,71,4.44,BR,2024-01-07
112,kilinochchi,9.3961,80.3982,28.34,73,27,2.27,LK,2024-01-07
113,barabai,-2.5833,115.3833,32.46,59,86,0.66,ID,2024-01-07
114,shenkursk,62.1091,42.896,-23.45,100,99,0.93,RU,2024-01-07
115,mount hagen,-5.8581,144.2274,22.42,73,75,5.14,PG,2024-01-07
116,leava,-14.3,-178.1667,28.46,79,55,4.16,WF,2024-01-07
117,chhala,23.3,72.7667,18.78,39,1,5.72,IN,2024-01-07
118,ribeira grande,38.5167,-28.7,14.87,79,100,3.13,PT,2024-01-07
119,badger,64.8,-147.5333,-20.36,73,0,4.12,US,2024-01-07
120,la pintada,5.7487,-75.6063,24.7,80,15,0.45,CO,2024-01-07
121,hadibu,12.65,54.0333,24.97,52,8,6.8,YE,2024-01-07
122,hithadhoo,-0.6,73.0833,28.29,75,96,6.86,MV,2024-01-07
123,durres,41.3231,19.4414,8.1,81,81,5.85,AL,2024-01-07
124,cedeira,43.6797,-8.0209,4.66,76,100,2.59,ES,2024-01-07
125,igarka,67.4667,86.5833,-22.39,99,100,5.09,RU,2024-01-07
126,montepuez,-13.1256,38.9997,22.93,94,99,1.67,MZ,2024-01-07
127,vielha,42.6846,0.7726,-5.9,95,83,4.84,ES,2024-01-07
128,olonkinbyen,70.9221,-8.7187,-3.08,78,100,6.43,SJ,2024-01-07
129,constantia,44.1833,28.65,9.38,82,95,4.81,RO,2024-01-07
130,guasdualito,7.2424,-70.7324,25.94,54,40,1.54,VE,2024-01-07
131,ivdel',60.6911,60.4206,-23.87,98,100,0.89,RU,2024-01-07
132,yambio,4.5721,28.3955,23.34,29,80,2.03,SS,2024-01-07
133,minas de marcona,-15.2119,-75.1103,17.11,87,77,4.73,PE,2024-01-07
134,hilo,19.7297,-155.09,22.36,95,40,2.06,US,2024-01-07
135,punta arenas,-53.15,-70.9167,9.06,76,0,5.66,CL,2024-01-07
136,la passe,45.5549,-0.8967,3.13,81,26,4.87,FR,2024-01-07
137,deqen,29.9618,90.7188,0.72,12,0,0.86,CN,2024-01-07
138,kota belud,6.351,116.4305,30.31,70,69,3.96,MY,2024-01-07
139,barah,13.7,30.3667,18.55,35,42,4.37,SD,2024-01-07
140,qulsary,46.9531,54.0198,-0.11,77,86,5.05,KZ,2024-01-07
141,la'ie,21.6477,-157.9253,25.98,92,27,0.45,US,2024-01-07
142,juneau,58.3019,-134.4197,-4.0,86,20,0.0,US,2024-01-07
143,hamilton,39.1834,-84.5333,2.47,94,100,2.06,US,2024-01-07
144,saquarema,-22.92,-42.5103,22.51,89,43,1.34,BR,2024-01-07
145,vernon,50.2581,-119.2691,2.09,86,100,0.51,CA,2024-01-07
146,kristinestad,62.2743,21.376,-17.17,96,43,3.11,FI,2024-01-07
147,bubaque,11.2833,-15.8333,25.86,66,40,2.83,GW,2024-01-07
148,utrik,11.2278,169.8474,26.69,71,61,8.11,MH,2024-01-07
149,hammerfest,70.6634,23.6821,-3.75,86,100,7.2,NO,2024-01-07
150,chandler,33.3062,-111.8412,11.53,57,0,2.57,US,2024-01-07
151,buruenesti,45.3167,26.35,9.31,87,97,1.9,RO,2024-01-07
152,fale old settlement,-9.3852,-171.2468,29.26,68,94,2.88,TK,2024-01-07
153,atafu village,-8.5421,-172.5159,29.15,71,100,3.89,TK,2024-01-07
154,soure,-0.7167,-48.5233,25.08,87,100,1.74,BR,2024-01-07
155,yaren,-0.5472,166.916,28.92,75,10,6.22,NR,2024-01-07
156,ghadamis,30.1337,9.5007,8.78,42,69,4.71,LY,2024-01-07
157,weno,7.4515,151.8468,28.53,69,75,9.45,FM,2024-01-07
158,odda,60.0691,6.5457,-5.13,24,5,2.42,NO,2024-01-07
159,hawaiian paradise park,19.5933,-154.9731,22.24,95,40,2.06,US,2024-01-07
160,teshi old town,5.5836,-0.1072,27.31,89,20,2.57,GH,2024-01-07
161,wailua homesteads,22.0669,-159.378,22.44,78,0,1.54,US,2024-01-07
162,kingscliff,-28.2667,153.5667,25.96,94,75,3.09,AU,2024-01-07
163,whitehorse,60.7161,-135.0538,-19.55,83,40,6.17,CA,2024-01-07
164,san patricio,28.017,-97.5169,15.91,56,84,3.43,US,2024-01-07
165,howard springs,-12.497,131.047,29.95,77,100,2.74,AU,2024-01-07
166,zambezi,-13.5432,23.1047,19.36,97,100,1.3,ZM,2024-01-07
167,pudozh,61.8099,36.5345,-31.7,100,48,0.45,RU,2024-01-07
168,ulsteinvik,62.3432,5.8487,-1.93,58,18,4.92,NO,2024-01-07
169,gijon,43.5357,-5.6615,7.22,94,93,3.58,ES,2024-01-07
170,cidreira,-30.1811,-50.2056,22.13,92,26,7.47,BR,2024-01-07
171,naigarhi,24.7833,81.7833,19.99,63,0,2.68,IN,2024-01-07
172,alexandria,31.2156,29.9553,12.3,75,41,3.5,EG,2024-01-07
173,vrangel',42.7297,133.0839,-8.2,54,21,8.19,RU,2024-01-07
174,pathein,16.7833,94.7333,30.65,38,7,2.21,MM,2024-01-07
175,collie,-33.3667,116.15,34.94,20,84,1.86,AU,2024-01-07
176,west island,-12.1568,96.8225,29.99,79,100,5.14,CC,2024-01-07
177,civril,38.3014,29.7386,9.04,70,75,7.75,TR,2024-01-07
178,avarua,-21.2078,-159.775,26.03,94,75,5.66,CK,2024-01-07
179,sur,22.5667,59.5289,24.14,53,0,2.88,OM,2024-01-07
180,broken hill,-31.95,141.4333,31.79,36,90,7.65,AU,2024-01-07
181,pekalongan,-6.8886,109.6753,27.78,77,99,2.63,ID,2024-01-07
182,naze,28.3667,129.4833,16.51,52,36,7.75,JP,2024-01-07
183,mahenge,-8.6833,36.7167,18.86,96,100,0.39,TZ,2024-01-07
184,luderitz,-26.6481,15.1594,19.96,63,41,7.47,NA,2024-01-07
185,abancay,-13.6339,-72.8814,15.87,92,94,0.74,PE,2024-01-07
186,kharan,28.5833,65.4167,17.36,34,32,1.42,PK,2024-01-07
187,longyearbyen,78.2186,15.6401,-16.09,72,40,4.12,SJ,2024-01-07
188,berdigestyakh,62.0989,126.6992,-41.31,100,60,1.37,RU,2024-01-07
189,east end,34.5507,-92.341,3.2,91,47,2.6,US,2024-01-07
190,lubao,14.9167,120.55,32.04,55,96,5.78,PH,2024-01-07
191,wynyard,-41.0,145.7167,18.24,97,100,3.66,AU,2024-01-07
192,puerto santa,-8.9906,-78.6456,21.36,89,59,3.3,PE,2024-01-07
193,coahuayana de hidalgo,18.7,-103.6583,22.06,82,62,1.43,MX,2024-01-07
194,kailua-kona,19.6406,-155.9956,24.98,90,20,1.54,US,2024-01-07
195,lompoc,34.6391,-120.4579,11.55,88,100,6.71,US,2024-01-07
196,porto novo,6.4965,2.6036,27.9,89,6,0.43,BJ,2024-01-07
197,gamba,-2.65,10.0,25.34,82,100,1.69,GA,2024-01-07
198,matoury,4.8483,-52.3317,22.98,100,0,0.0,GF,2024-01-07
199,margaret river,-33.95,115.0667,25.66,54,57,5.82,AU,2024-01-07
200,palamos,41.8484,3.1291,8.95,59,1,5.75,ES,2024-01-07
201,mount gambier,-37.8333,140.7667,22.66,81,100,2.13,AU,2024-01-07
202,richards bay,-28.783,32.0377,25.76,71,1,2.38,ZA,2024-01-07
203,tecpan de galeana,17.25,-100.6833,21.68,77,46,1.63,MX,2024-01-07
204,sao joao da barra,-21.6403,-41.0511,22.25,95,56,2.78,BR,2024-01-07
205,praia,14.9215,-23.5087,21.3,37,0,5.14,CV,2024-01-07
206,talnakh,69.4865,88.3972,-21.0,98,100,4.44,RU,2024-01-07
